date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact
2015-04-25,shot and Tasered,gun,43.0,M,W,Clermont,PA,False,attack,Foot,False,-117.269,32.977,True
2018-06-25,shot,gun,30.0,M,W,Garland,TN,False,attack,Foot,True,-78.525,38.026,True
2021-09-27,shot,knife,50.0,M,B,Auburn,AZ,True,other,Not fleeing,False,-114.04,35.213,True
2019-12-31,shot,,36.0,M,H,Cross Lanes,NM,False,attack,Not fleeing,False,-88.267,30.834,True
2022-09-28,shot,,23.0,M,W,Greenville,IN,False,attack,Not fleeing,False,-86.594,36.267,True
2015-10-10,shot,gun,42.0,M,B,Lisle,AL,True,attack,Not fleeing,False,-106.586,35.081,True
2018-12-05,shot,knife,37.0,M,H,Napa,FL,False,attack,Not fleeing,False,-71.878,42.056,True
2022-08-27,shot,gun,37.0,M,H,Charleston,TX,False,attack,Not fleeing,False,-75.821,39.599,True
2019-03-06,shot,knife,38.0,M,B,Morgantown,KY,False,attack,Not fleeing,True,-95.94,41.272,True
2015-07-07,shot,gun,32.0,F,W,Dallas,KY,False,attack,Foot,False,-82.341,29.612,True
2018-08-01,shot,gun,29.0,M,H,Oxon Hill,FL,False,attack,Not fleeing,False,-112.074,33.488,True
2017-01-18,shot,gun,59.0,M,W,Dallas,TX,True,attack,Not fleeing,False,-89.522,34.335,True
2019-08-09,shot,knife,49.0,M,W,Kansas City,NY,True,other,Not fleeing,False,-118.188,33.971,True
2016-05-21,shot,gun,54.0,M,W,Oregon City,FL,False,attack,Not fleeing,False,-121.98,38.354,True
2020-01-19,shot,gun,44.0,M,H,Sebring,AZ,False,attack,Car,False,-79.839,40.397,True
2019-11-05,shot and Tasered,knife,29.0,M,W,East Cleveland,MO,False,other,Not fleeing,False,-111.841,33.254,True
2016-11-01,shot,gun,41.0,M,H,Carson City,AZ,False,attack,Foot,True,-121.998,45.359,True
2017-05-02,shot,gun,32.0,M,B,Austin,MD,False,attack,Not fleeing,False,-95.53,30.027,True
2017-08-04,shot,knife,37.0,M,W,Marine City,CT,False,attack,Not fleeing,False,-93.764,32.437,True
2016-02-02,shot,gun,46.0,M,B,Rancho Cordova,LA,True,attack,Not fleeing,False,-121.845,39.725,True
2015-10-15,shot and Tasered,gun,48.0,M,B,Las Vegas,AR,True,attack,Not fleeing,False,-118.263,34.042,True
2021-05-31,shot,knife,30.0,M,H,San Jose,FL,False,attack,Not fleeing,False,-99.515,34.256,True
2019-06-28,shot,,46.0,M,W,Pearl,FL,False,other,Car,False,-82.439,28.045,True
2017-08-08,shot,gun,43.0,M,H,Dalton,TN,False,attack,Not fleeing,False,-94.76,31.36,True
2016-04-13,shot,gun,59.0,M,H,Stockton,CA,False,attack,Foot,False,-82.999,40.065,True
2016-02-07,shot,gun,32.0,M,W,Columbus,MO,False,attack,Not fleeing,False,-73.914,40.83,True
2015-06-05,shot,gun,48.0,M,W,Santa Maria,OH,True,attack,Not fleeing,False,-107.37,45.317,True
2018-02-01,shot,toy weapon,39.0,M,W,Oklahoma City,CA,False,attack,Car,False,-80.208,25.951,True
2015-12-05,shot and Tasered,knife,21.0,M,W,Neenah,CA,True,other,Not fleeing,False,-122.397,37.721,True
2015-07-23,shot,,38.0,M,W,Meadow Vista,AL,False,other,Not fleeing,False,-116.958,33.742,True
2020-02-17,shot,knife,27.0,M,W,Greeneville,IN,False,other,Not fleeing,False,-105.282,40.027,True
2020-12-29,shot,gun,33.0,M,B,Charleston,NJ,True,attack,Not fleeing,False,-118.255,33.808,True
2016-09-06,shot,gun,18.0,M,W,Phoenix,IN,False,attack,Not fleeing,False,-82.727,38.518,True
2020-03-06,shot,knife,34.0,F,B,Fairfield,FL,True,other,Not fleeing,False,-80.127,26.245,True
2019-07-05,shot,gun,33.0,M,B,Mountain Grove,NC,False,attack,Not fleeing,False,-118.191,33.795,True
2018-08-03,shot,gun,25.0,F,B,Seville,DC,False,attack,Car,False,-117.206,32.754,True
2016-08-18,shot,gun,47.0,M,W,Ruidoso,WI,False,attack,Not fleeing,False,-88.519,30.359,True
2016-10-25,shot,vehicle,49.0,M,W,Little Rock,OH,False,other,Not fleeing,False,-93.602,41.565,True
2018-04-29,shot,gun,19.0,M,W,Franklin,WA,True,attack,Not fleeing,False,-79.995,37.241,True
2016-03-15,shot,unarmed,39.0,M,B,Evansville,NY,False,other,Car,False,-89.621,40.681,True
2021-01-02,shot,knife,51.0,M,W,Chandler,MD,True,other,Not fleeing,False,-82.714,27.916,True
2015-07-09,shot,knife,45.0,M,W,Phoenix,MN,True,attack,Not fleeing,False,-82.212,36.348,True
2017-08-13,shot,,35.0,M,B,La Crosse,NC,False,other,Not fleeing,False,-101.666,33.166,True
2021-10-09,shot,gun,25.0,M,W,Madison County,GA,False,attack,Not fleeing,False,-111.682,40.299,True
2020-10-24,shot,gun,58.0,M,W,Sylvester,AZ,False,attack,Not fleeing,False,-80.486,27.024,True
2020-05-27,shot,gun,31.0,M,W,Fullerton,UT,False,attack,Not fleeing,False,-96.069,33.371,True
2021-08-11,shot,gun,50.0,M,W,Castaic,UT,False,attack,Not fleeing,False,-119.335,35.584,True
2020-04-05,shot and Tasered,hammer,62.0,M,W,Manchester,TX,True,attack,Not fleeing,False,-71.005,42.243,True
2020-05-04,shot,gun,48.0,M,W,Muskogee,PA,True,attack,Not fleeing,False,-106.708,35.097,True
2020-09-20,shot,unarmed,32.0,M,W,Redmond,MI,False,other,Foot,False,-116.251,33.698,True
2015-12-06,shot,gun,24.0,M,B,Richmond Heights,FL,False,attack,Foot,False,-88.4,37.547,True
2016-05-05,shot,gun,45.0,M,B,Milwaukee,AR,False,attack,Not fleeing,False,-86.33,32.366,True
2017-03-28,shot and Tasered,knife,32.0,M,H,Lafayette,CA,True,other,Not fleeing,False,-115.132,36.205,True
2021-02-23,shot,gun,58.0,M,W,Eagle Point,TN,True,attack,Not fleeing,False,-86.573,38.91,True
2020-08-02,shot,gun,33.0,M,W,Sarasota,WI,False,attack,Not fleeing,False,-85.488,40.889,True
2019-05-11,shot and Tasered,unarmed,27.0,M,W,Chicago,FL,False,other,Foot,False,-73.259,42.438,True
2019-01-30,shot,gun,53.0,M,H,Phoenix,AZ,False,attack,Foot,False,-119.813,39.522,True
2021-01-20,shot,gun,28.0,M,H,Tucson,UT,False,attack,Car,False,-85.634,40.532,True
2022-05-04,shot,knife,45.0,M,H,Essex,CA,True,other,Not fleeing,False,-81.67,29.648,True
2017-02-16,shot,gun,30.0,M,B,Gardena,DC,True,attack,Not fleeing,False,-106.643,35.075,True
2015-10-31,shot,unarmed,34.0,M,H,Opelika,TX,False,attack,Not fleeing,False,-94.439,39.234,True
2018-11-21,shot,gun,36.0,M,H,Stillwater,CA,False,attack,Not fleeing,False,-87.548,37.999,True
2018-04-28,shot,gun,38.0,M,B,Johns Creek,MD,False,attack,Car,False,-79.951,39.638,True
2016-01-27,shot,unarmed,43.0,M,H,Dearborn,CA,False,other,Not fleeing,False,-97.623,30.496,True
2019-07-21,shot,gun,18.0,M,H,Tacoma,NM,False,attack,Car,False,-88.229,30.762,True
2016-05-18,shot,knife,54.0,M,H,New York,CA,False,other,Not fleeing,False,-94.772,35.745,True
2018-04-11,shot,toy weapon,37.0,M,W,Gardena,LA,False,other,Car,False,-89.054,30.383,True
2017-10-29,shot,gun,31.0,M,W,Tate County,GA,False,attack,Not fleeing,False,-149.889,61.217,True
2015-12-30,shot,toy weapon,40.0,M,B,Fresno,OH,False,attack,Not fleeing,False,-85.323,51.254,True
2019-08-31,shot,gun,39.0,M,B,St. Louis,OH,False,attack,Not fleeing,False,-70.877,42.064,True
2017-03-19,shot,gun,25.0,M,B,Gifford,FL,False,attack,Car,False,-86.442,42.116,True
2020-07-25,shot,gun,22.0,M,B,Salt Lake City,TX,False,attack,Not fleeing,False,-72.511,41.77,True
2020-06-02,shot,gun,30.0,M,B,Vallejo,NC,True,attack,Not fleeing,False,-75.038,41.031,True
2016-03-07,shot,gun,57.0,M,B,Topeka,NJ,False,attack,Not fleeing,False,-95.973,35.625,True
2018-11-05,shot,gun,52.0,M,W,Glen Burnie,KS,False,attack,Not fleeing,False,-98.404,34.597,True
2017-05-02,shot,gun,32.0,M,W,Austin,OK,True,attack,Not fleeing,False,-97.621,35.595,True
2021-09-12,shot,gun,39.0,M,W,San Antonio,NC,False,attack,Not fleeing,False,-120.202,39.2,True
2019-10-13,shot,gun,36.0,M,W,Glendale,CO,False,attack,Not fleeing,False,-87.747,41.803,True
2019-09-28,shot,gun,43.0,M,W,Baltimore,AZ,True,attack,Car,False,-90.299,38.607,True
2017-03-26,shot and Tasered,unarmed,20.0,M,W,Delray Beach,FL,True,other,Foot,False,-84.473,33.616,True
2018-01-16,shot,knife,33.0,M,W,Bedford,MN,True,other,Not fleeing,False,-122.417,44.756,True
2019-12-15,shot,toy weapon,54.0,M,W,Minneapolis,KS,True,attack,Foot,True,-121.634,39.13,True
2016-04-08,shot,,57.0,M,W,Kentwood,TX,False,attack,Car,False,-122.274,38.306,True
2019-01-13,shot,gun,28.0,M,W,Calabasas,FL,False,attack,Car,False,-82.488,27.303,True
2016-09-30,shot,unarmed,39.0,M,W,Belleville,NC,False,other,Not fleeing,False,-86.802,36.142,True
2017-01-21,shot,gun,14.0,M,W,Jean,OK,False,attack,Not fleeing,False,-96.775,32.895,True
2016-10-10,shot,knife,37.0,M,H,Irvine,MO,True,other,Not fleeing,False,-119.748,36.736,True
2018-11-20,shot,gun,26.0,M,W,Magnolia,VA,True,attack,Car,False,-117.336,34.442,True
2020-09-24,shot,gun,28.0,M,B,Sebring,CA,False,attack,Not fleeing,False,-112.024,41.121,True
2020-07-16,shot,gun,51.0,M,H,Shoreline,CA,False,attack,Foot,False,-88.212,31.623,True
2015-01-13,shot,hatchet,34.0,M,B,Albuquerque,WA,True,other,Not fleeing,False,-96.155,36.076,True
2015-06-08,shot and Tasered,unarmed,57.0,M,B,Anaheim,IL,True,other,Not fleeing,False,-88.093,41.805,True
2015-03-22,shot,gun,40.0,M,B,Portland,SC,False,attack,Not fleeing,False,-112.302,33.6,True
2022-05-18,shot,gun,37.0,M,H,Atlanta,AZ,False,attack,Not fleeing,False,-103.128,32.704,True
2022-10-12,shot,toy weapon,21.0,M,W,Philadelphia,FL,True,attack,Not fleeing,False,-89.039,30.4,True
2015-09-25,shot,gun,50.0,M,W,Akron,KY,False,attack,Not fleeing,False,-82.053,29.168,True
2020-01-28,shot,unarmed,54.0,M,W,Scottsdale,WI,False,other,Foot,False,-77.64,43.161,True
2021-03-07,shot,gun,44.0,F,H,Sparkman,TX,False,attack,Not fleeing,False,-97.063,36.134,True
2016-01-14,shot,toy weapon,35.0,M,B,Hurst,VA,False,attack,Foot,False,-88.941,37.731,True
2017-10-12,shot,,48.0,M,H,Flagstaff,CA,False,other,Not fleeing,False,-75.176,40.038,True
2018-10-08,shot,knife,36.0,M,H,Okarche,TX,True,other,Not fleeing,False,-122.402,47.186,True
2020-09-18,shot,unarmed,40.0,M,H,Stanton,FL,False,other,Not fleeing,False,-82.284,34.917,True
2015-02-04,shot,gun,37.0,M,W,Orlando,GA,False,attack,Not fleeing,False,-114.704,42.776,True
2017-07-04,shot,gun,30.0,M,W,Vandalia,CA,True,attack,Not fleeing,False,-72.419,41.285,True
2016-01-28,shot,gun,39.0,M,W,Clackamas County,GA,False,attack,Car,False,-72.356,43.384,True
2021-06-28,shot,gun,39.0,M,B,Siskiyou County,AR,False,attack,Not fleeing,False,-94.723,31.345,True
2016-01-01,shot,knife,31.0,M,W,San Diego,IN,False,attack,Not fleeing,False,-122.324,37.988,True
2018-01-06,shot,gun,28.0,M,B,Birmingham,WV,False,attack,Not fleeing,False,-85.647,42.906,True
2017-05-09,shot,gun,34.0,M,B,Lexington,VA,True,attack,Not fleeing,False,-87.95,42.924,True
2016-10-08,shot,knife,31.0,M,W,Federal Way,MO,False,other,Not fleeing,False,-106.444,31.813,True
2015-08-15,shot,gun,26.0,M,W,Carson City,TX,False,attack,Foot,False,-76.133,39.579,True
2016-06-12,shot,gun,27.0,M,H,Orlando,IL,False,attack,Not fleeing,False,-72.995,41.545,True
2021-03-25,shot and Tasered,knife,20.0,M,W,King George County,IL,False,attack,Car,False,-73.879,40.924,True
2018-02-01,shot and Tasered,unarmed,37.0,M,W,Oklahoma City,NH,False,other,Not fleeing,False,-88.093,41.805,True
2022-10-13,shot and Tasered,knife,25.0,M,H,Topeka,FL,True,attack,Not fleeing,False,-82.01,28.981,True
2016-09-06,shot,,21.0,M,H,Omaha,IL,False,other,Car,False,-97.133,33.215,True
2020-05-09,shot,gun,30.0,M,B,Silver Spring,MD,True,attack,Not fleeing,False,-104.834,38.814,True
2019-03-22,shot,gun,68.0,M,W,Ernul,TX,False,attack,Foot,False,-117.238,47.683,True
2016-06-12,shot,knife,84.0,M,W,Eagle Mountain,CO,False,other,Not fleeing,False,-83.197,31.066,True
2017-11-08,shot,unarmed,58.0,M,B,Roanoke,TX,False,other,Not fleeing,False,-118.428,34.259,True
2015-02-07,shot,gun,51.0,M,B,Calimesa,MN,False,attack,Car,False,-95.173,29.806,True
2016-01-27,shot and Tasered,unarmed,23.0,M,W,Lenoir City,VA,False,other,Not fleeing,False,-117.222,34.123,True
2017-07-06,shot,unarmed,29.0,M,B,Plant City,NV,False,other,Not fleeing,False,-80.365,27.311,True
2016-08-02,shot,gun,35.0,M,B,Palm Bay,GA,False,attack,Not fleeing,False,-116.394,43.601,True
2019-07-14,shot,unarmed,29.0,M,W,Hollywood,GA,False,other,Car,False,-95.161,29.69,True
2015-04-04,shot,knife,49.0,M,B,Zion,MN,False,other,Not fleeing,False,-84.239,39.752,True
2015-06-17,shot,gun,53.0,M,N,Clanton,CA,False,attack,Car,False,-82.894,38.344,True
2021-07-20,shot,gun,32.0,M,W,Phoenix,UT,True,attack,Car,False,-147.716,64.838,True
2019-07-16,shot,gun,18.0,M,W,Porterdale,MN,False,attack,Car,False,-88.29,31.066,True
2020-01-13,shot and Tasered,unarmed,28.0,M,B,San Antonio,GA,False,attack,Not fleeing,True,-120.954,47.197,True
2015-12-04,shot,gun,62.0,M,H,Mount Washington,CA,False,attack,Not fleeing,False,-79.931,37.298,True
2020-12-24,shot,gun,41.0,F,W,Redding,OR,False,attack,Not fleeing,False,-87.572,41.761,True
2019-10-30,shot and Tasered,unarmed,63.0,M,B,Lancaster,WI,True,attack,Not fleeing,True,-118.289,33.921,True
2019-09-02,shot,gun,23.0,M,H,Missoula,TX,False,other,Foot,False,-86.043,38.879,True
2017-05-15,shot,gun,41.0,M,B,Johnson City,IL,False,attack,Not fleeing,False,-88.093,41.805,True
2021-01-10,shot,knife,24.0,M,W,Bentonville,TX,False,attack,Not fleeing,False,-92.127,34.865,True
2018-12-16,shot,unarmed,41.0,M,W,Mesa,MS,False,other,Not fleeing,False,-85.119,30.928,True
2022-04-04,shot,gun,53.0,M,W,Grand Rapids,OH,False,attack,Not fleeing,False,-112.302,33.6,True
2019-11-04,shot,knife,56.0,M,B,Two Rivers,TN,True,other,Not fleeing,False,-96.977,32.8,True
2017-11-09,shot,unarmed,54.0,M,B,Salisbury,MD,False,other,Car,False,-118.338,33.823,True
2020-01-15,shot,gun,32.0,M,B,Fleetwood,CA,False,attack,Not fleeing,False,-89.93,35.203,True
2020-10-08,shot,unarmed,59.0,M,W,New York,IL,False,attack,Foot,False,-82.999,39.961,True
2022-03-01,shot,unarmed,47.0,M,A,Jacksonville,HI,False,other,Foot,False,-87.328,41.542,True
2019-02-10,shot,,24.0,M,W,Waukesha,FL,False,other,Not fleeing,False,-80.726,35.37,True
2020-05-07,shot,gun,36.0,M,W,Long Beach,OH,False,attack,Not fleeing,False,-91.15,30.495,True
2020-07-07,shot,knife,28.0,M,H,Fresno,IL,True,other,Not fleeing,True,-73.854,40.819,True
2018-03-01,shot,gun,25.0,M,W,Tucson,KY,False,attack,Not fleeing,False,-121.991,37.811,True
2019-12-27,shot,,26.0,M,B,Newport News,IL,False,attack,Car,False,-112.076,33.462,True
2016-11-29,shot,unarmed,29.0,M,W,Avon,NE,True,other,Not fleeing,False,-86.615,34.803,True
2022-06-01,shot,gun,38.0,M,N,Lubbock,MN,False,attack,Not fleeing,False,-93.238,38.705,True
2019-02-02,shot,gun,30.0,M,B,Flagstaff,DE,False,attack,Not fleeing,False,-111.828,40.63,True
2016-02-05,shot,gun,18.0,M,W,Seaside,NV,False,attack,Not fleeing,False,-83.347,42.239,True
2018-09-05,shot,gun,28.0,M,B,Morris,TN,False,attack,Not fleeing,True,-95.993,36.09,True
2020-08-29,shot,gun,23.0,M,H,Holly Hill,GA,False,attack,Not fleeing,False,-122.775,45.005,True
2021-05-11,shot,knife,16.0,F,B,Stockton,TX,False,attack,Not fleeing,True,-119.488,46.263,True
2016-03-22,shot,sword,44.0,F,W,Miami,MT,True,other,Car,False,-81.089,32.057,True
2016-04-08,shot,,21.0,M,W,Lake Hallie,AL,False,other,Not fleeing,False,-118.171,33.875,True
2015-12-14,shot,gun,16.0,M,B,New Orleans,VA,True,attack,Not fleeing,False,-89.356,43.071,True
2018-12-10,shot,gun,35.0,M,A,Noble County,AR,False,attack,Not fleeing,False,-88.19,34.812,True
2019-12-11,shot,toy weapon,36.0,M,W,Nelson Township,FL,True,attack,Not fleeing,False,-85.879,42.363,True
2016-11-28,shot,gun,30.0,M,W,Columbus,TN,False,attack,Not fleeing,False,-121.324,38.648,True
2019-06-11,shot,gun,23.0,M,H,Orlando,UT,True,attack,Not fleeing,False,-78.098,38.522,True
2022-05-03,shot,,57.0,M,H,Los Angeles,AZ,False,other,Not fleeing,False,-118.139,34.015,True
2016-01-30,shot,unarmed,18.0,M,B,Sugar Creek,CA,True,other,Not fleeing,False,-80.45,27.615,True
2015-12-05,shot,gun,43.0,M,B,St. Louis,LA,False,other,Other,False,-82.205,41.442,True
2020-08-12,shot,gun,39.0,F,W,Reseda,NY,False,attack,Not fleeing,False,-94.432,31.375,True
2022-03-02,shot,knife,63.0,M,W,Oklahoma City,LA,False,attack,Not fleeing,False,-80.876,35.398,True
2019-01-24,shot,unarmed,36.0,M,B,St. Louis,FL,False,other,Foot,False,-87.32,41.577,True
2016-11-18,shot,knife,27.0,M,W,Fort Walton Beach,NE,False,other,Not fleeing,False,-80.641,28.028,True
2020-02-14,shot,gun,37.0,M,B,Silverton,FL,False,attack,Car,False,-118.457,34.235,True
2017-02-02,shot,gun,37.0,M,W,Orange Park,TX,True,attack,Not fleeing,False,-89.93,35.203,True
2017-09-17,shot,machete,45.0,M,W,Los Angeles,FL,False,other,Not fleeing,False,-122.409,47.233,True
2018-02-28,shot,gun,36.0,M,B,Orlando,UT,True,attack,Not fleeing,False,-106.559,35.08,True
2016-12-22,shot,gun,23.0,M,W,Capitol Heights,TX,True,attack,Not fleeing,False,-93.763,41.588,True
2018-02-04,shot,gun,41.0,M,W,Los Angeles,TX,True,attack,Not fleeing,False,-122.024,37.568,True
2015-07-26,shot,gun,72.0,M,B,Shreveport,OH,False,attack,Foot,False,-96.665,34.782,True
2018-07-23,shot,vehicle,69.0,M,W,Silver Spring,CA,True,other,Not fleeing,False,-87.861,30.421,True
2020-04-15,shot,gun,31.0,F,B,Blair,NM,True,attack,Not fleeing,False,-87.904,42.968,True
2021-02-15,shot,unarmed,43.0,M,B,Indian Wells,PA,False,other,Car,False,-81.685,28.84,True
2018-12-01,shot,gun,43.0,M,B,Tamarac,LA,False,attack,Not fleeing,False,-90.824,43.942,True
2015-02-23,shot,gun,46.0,M,W,Omaha,LA,False,attack,Not fleeing,False,-96.717,32.713,True
2019-04-16,shot,knife,39.0,M,H,Montesano,NY,False,other,Not fleeing,False,-120.947,37.584,True
2016-09-07,shot,box cutter,41.0,M,B,Wyoming,TX,True,other,Not fleeing,True,-93.339,38.689,True
2017-08-07,shot,unarmed,38.0,F,B,Wichita,FL,False,attack,Not fleeing,False,-119.78,36.862,True
2018-03-06,shot,gun,59.0,M,W,North Manchester,NY,False,attack,Not fleeing,True,-95.956,41.179,True
2021-07-17,shot,gun,23.0,M,W,Las Vegas,TX,False,attack,Car,False,-76.916,38.865,True
2020-02-25,shot,unarmed,39.0,F,W,Pocatello,IN,True,attack,Not fleeing,False,-121.01,37.633,True
2020-01-05,shot,gun,31.0,M,H,Sparks,TX,False,attack,Not fleeing,False,-95.486,30.309,True
2015-06-26,shot,machete,34.0,M,W,Malone,AL,True,attack,Not fleeing,False,-76.751,40.002,True
2019-03-09,shot,gun,58.0,M,H,Cheatham County,OR,False,attack,Not fleeing,False,-89.025,42.523,True
2018-06-17,shot,gun,40.0,M,W,South Salt Lake,FL,False,attack,Car,False,-108.51,45.779,True
2019-02-14,shot,gun,28.0,M,W,Aspers,CO,False,attack,Not fleeing,False,-117.164,32.99,True
2021-08-16,shot,gun,45.0,M,W,Loveland,GA,False,attack,Car,False,-95.285,32.337,True
2020-04-23,shot,gun,74.0,M,W,Paterson,AR,True,attack,Not fleeing,False,-77.158,39.859,True
2015-07-27,shot,gun,27.0,M,W,Houma,FL,False,attack,Not fleeing,False,-97.372,35.74,True
2020-08-08,shot,knife,28.0,M,W,Bossier City,AL,True,other,Not fleeing,False,-116.512,32.68,True
2019-08-05,shot and Tasered,knife,65.0,M,W,Memphis,KY,True,other,Foot,False,-110.825,32.251,True
2015-02-04,shot and Tasered,undetermined,42.0,F,W,Tempe,CA,False,attack,Car,False,-89.039,30.4,True
2018-09-04,shot,gun,30.0,M,A,Westminster,MO,False,attack,Not fleeing,False,-95.754,29.637,True
2022-04-02,shot,gun,25.0,M,B,Savannah,TX,True,attack,Car,False,-82.234,36.485,True
2018-03-09,shot,gun,30.0,M,B,Arlington,AR,True,attack,Not fleeing,False,-149.814,61.218,True
2019-06-01,shot,gun,36.0,M,B,Shreveport,AR,False,attack,Not fleeing,False,-85.804,30.177,True
2017-07-04,shot,undetermined,37.0,M,W,Albuquerque,NC,False,other,Car,True,-83.986,36.001,True
2019-12-17,shot,gun,30.0,M,B,Great Falls,OK,False,attack,Foot,False,-118.569,34.241,True
2016-04-08,shot,gun,20.0,M,W,Lake Hallie,CA,False,attack,Foot,False,-117.269,32.977,True
2019-10-17,shot and Tasered,gun,41.0,M,B,Oakridge,PA,True,other,Not fleeing,False,-80.294,25.939,True
2015-08-07,shot,gun,30.0,M,W,Las Vegas,FL,False,attack,Not fleeing,False,-82.402,28.011,True
2018-03-12,shot,knife,46.0,M,W,Tulare,NC,True,other,Not fleeing,False,-95.944,29.789,True
2019-02-15,shot,knife,22.0,M,W,Aurora,MO,False,other,Not fleeing,False,-106.845,32.285,True
2021-02-04,shot,gun,50.0,F,W,High Point,WA,False,attack,Car,False,-111.672,33.415,True
2015-10-30,shot,gun,34.0,M,B,Old Town,NY,False,attack,Not fleeing,False,-84.425,39.852,True
2021-07-31,shot,gun,29.0,F,W,Woodville,CA,True,attack,Not fleeing,False,-117.436,34.063,True
2018-05-08,shot,knife,43.0,M,W,Glade Spring,CO,False,other,Not fleeing,False,-121.434,38.552,True
2019-08-02,shot,toy weapon,32.0,M,H,Charlotte,AZ,False,attack,Car,False,-95.316,29.713,True
2015-02-28,shot,gun,21.0,M,W,St Louis,NC,False,attack,Foot,False,-87.624,41.76,True
2020-02-24,shot,gun,57.0,M,N,Milwaukee,AK,False,attack,Not fleeing,False,-84.721,34.054,True
2020-08-08,shot,,29.0,M,B,Bossier City,PA,False,attack,Car,False,-93.501,36.532,True
2019-02-19,shot,gun,45.0,M,B,Baltimore,VA,False,attack,Not fleeing,False,-78.822,36.025,True
2019-12-19,shot,gun,24.0,M,B,Eustis,OH,True,attack,Not fleeing,False,-119.183,34.228,True
2015-02-28,shot,gun,17.0,M,B,Tucson,CA,False,attack,Not fleeing,False,-104.896,39.578,True
2018-12-12,shot,toy weapon,19.0,M,W,Jacksonville,CO,False,attack,Not fleeing,False,-95.975,41.22,True
2018-06-07,shot,vehicle,24.0,M,H,Gary,CO,False,other,Car,False,-91.713,41.97,True
2018-09-06,shot,gun,48.0,M,B,Sacramento,FL,False,attack,Not fleeing,False,-109.33,34.094,True
2017-02-17,shot,knife,24.0,M,W,Tulsa,NV,False,attack,Not fleeing,False,-122.42,37.772,True
2018-01-12,shot,gun,49.0,M,B,Puyallup,CA,False,attack,Foot,False,-96.937,32.995,True
2019-03-22,shot,unarmed,41.0,F,W,Walterboro,IN,False,other,Not fleeing,False,-104.794,38.837,True
2022-06-18,shot,gun,38.0,M,W,Milwaukie,AZ,True,attack,Not fleeing,False,-95.157,29.812,True
2015-02-21,shot and Tasered,gun,28.0,M,W,Indianapolis,NJ,True,attack,Not fleeing,False,-87.662,34.803,True
2019-02-04,shot,knife,31.0,M,W,Clarksburg,CA,False,other,Not fleeing,True,-88.038,43.134,True
2017-01-30,shot,gun,21.0,M,B,Modesto,MD,False,attack,Foot,False,-97.132,33.199,True
2017-02-06,shot,gun,40.0,M,W,Commerce City,OH,False,attack,Not fleeing,True,-101.829,35.227,True
2020-02-14,shot,gun,44.0,M,W,Silverton,FL,True,attack,Car,False,-93.056,44.964,True
